,gender,familyname,givenname,picture,email,occupation,birth_date,birth_country,company,street,city,zip,region,region_abbr,country,phone_code,phone,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,birth_continent,continent
<Mike_Maroone>,m,Maroone,Mike,Maroone 8320 Free Use Copyright Creative Commons 3 AutoNation 2011.jpg,maroone@wanadoo.fr,novelist,1946-06-01,United States,Landesbank Baden-Württemberg,310 Oak Hill Road,Mouth of Wilson,24363,Virginia,VA,United States,1,2994728667,https://upload.wikimedia.org/wikipedia/commons/f/f1/Maroone_8320_Free_Use_Copyright_Creative_Commons_3_AutoNation_2011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Maroone_8320_Free_Use_Copyright_Creative_Commons_3_AutoNation_2011.jpg/250px-Maroone_8320_Free_Use_Copyright_Creative_Commons_3_AutoNation_2011.jpg,"Michael Maroone is an American businessman. He served as President and Chief Operating Officer of AutoNation, Inc. from August 1999 until his retirement in February 2015. He also served as a Director of the Company from July 2005.At AutoNation, Maroone oversaw the development and implementation of the operating structure, common systems and processes in sales, service and e-Commerce. Additionally he had the responsibility for all internal corporate development, real estate, information technology, and industry relations.
Maroone is a second-generation auto dealer, who started out at his family's Ford dealership in upstate New York. In 1977 he became General Manager of the first Maroone dealership in South Florida. The Maroone Automotive Group would grow to nine dealerships before merging with AutoNation in 1997.He serves as co-Chairman of the Cleveland Clinic Florida Leadership Board of the Cleveland Clinic, with his father Alan, where they are leading a $100 million capital campaign to add a neurology and cancer center to the Weston Florida Campus. The cancer center will carry the family name.
Recent recognition includes being honored by Automotive News as an All-Star and as one of the industry’s 50 Visionary Dealers of all time. He was recognized as Entrepreneur of the Year by Florida Atlantic University and is a member of the Nova Southeastern University Entrepreneur Hall of Fame.  Florida Atlantic University named him ""Entrepreneur of the Year"", and in 2007 he was inducted into the ""Entrepreneur Hall of Fame"" at Nova Southeastern University.  In 2009 he was named by Automotive News as one of the ""fifty industry’s Visionary Dealers"". In 2014  Mr. Maroone received Lifetime Achievement Award presented by the Boca Raton Concours D' Elegance.
Maroone is a former minority owner of the Florida Panthers; he and his partners, majority owner Cliff Viner, and minority owners H. Wayne Huizenga, Alan Cohen, and Jordan Zimmerman, sold their interests to Vincent Viola and Douglas Cifu for $250 million in 2013.",00001.jpg,00001.jpg,North America,North America
<Raffaele_Jerusalmi>,m,Jerusalmi,Raffaele,RaffaeleJerusalmi.jpg,r.jerusalmi@yahoo.com,statesman,1954-03-05,Italy,Indian Bank,145 Stuebner Airline,Klein,77379,Texas,TX,United States,1,3515149859,https://upload.wikimedia.org/wikipedia/commons/8/88/RaffaeleJerusalmi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/RaffaeleJerusalmi.jpg/250px-RaffaeleJerusalmi.jpg,"Raffaele Jerusalmi (born March 21, 1961 in Milan) is an Italian executive, CEO of Borsa Italiana S.p.A.",00002.jpg,00002.jpg,Europe,North America
<Nick_Pitarra>,m,Pitarra,Nick,C2E2_2013_-_Nick_Pitarra_(8687974671).jpg,nick.pitarra@live.nl,stage manager,2018-02-10,United States,Indian Bank,329 Neely Road,Rock Hill,29730,South Carolina,SC,United States,1,9825662514,https://upload.wikimedia.org/wikipedia/commons/4/4a/C2E2_2013_-_Nick_Pitarra_%288687974671%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/C2E2_2013_-_Nick_Pitarra_%288687974671%29.jpg/250px-C2E2_2013_-_Nick_Pitarra_%288687974671%29.jpg,"Nick Pitarra is an American comic book artist known for his numerous collaborations with writer Jonathan Hickman, which include mini-series The Red Wing and ongoing The Manhattan Projects,  both released through Image Comics. Pitarra is a member of Ten Ton Studios.",00003.jpg,00003.jpg,North America,North America
<Allen_Hershkowitz>,m,Hershkowitz,Allen,,a-hershkowitz534@orange.fr,model,1982-06-02,United States,ERGO Group,107 South 27th Avenue,Phoenix,85041,Arizona,AZ,United States,1,1234449456,,,Allen Hershkowitz is an American environmental scientist who worked as a senior scientist at Natural Resources Defense Council from 1988 to 2014 and then at the Green Sports Alliance.,,,North America,North America
<Jim_Gibbons_(US_executive)>,m,Gibbons,Jim,,gibbons@hetnet.nl,animal rights activist,1947-04-19,United States,National Iranian South Oil Company,384 rue Saint-Cône,La Rochelle,17000,Nouvelle-Aquitaine,,France,33,231433966,,,,,,North America,Europe
<Jay_Blahnik>,m,Blahnik,Jay,Jay Blahnik.jpg,blahnik@yahoo.fr,photographer,1981-06-29,United States,Kraft Foods,Highway 17 & Mighty Owl Avenue,Elgin,73538,Oklahoma,OK,United States,1,9415459339,https://upload.wikimedia.org/wikipedia/commons/4/45/Jay_Blahnik.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Jay_Blahnik.jpg/250px-Jay_Blahnik.jpg,"Jay Blahnik is a fitness instructor, trainer, consultant, author, program developer, and the Senior Director of Fitness for Health technologies for Apple Inc. Widely known as an authority on exercise and fitness issues as well as digital health and consumer behavior change, Blahnik has been a fitness expert for MSNBC.com and the Los Angeles Times and authored the book Full-Body Flexibility in 2004..",00004.jpg,00004.jpg,North America,North America
<Clive_Phillpot>,m,Phillpot,Clive,Clive Phillpot.jpg,clive-phillpot62@free.fr,map maker,1942-01-26,United States,Puma,272 place Sébastien Brant,Strasbourg,67000,Grand Est,,France,33,967451229,https://upload.wikimedia.org/wikipedia/commons/7/75/Clive_Phillpot.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Clive_Phillpot.jpg/250px-Clive_Phillpot.jpg,"Clive Phillpot is a specialist on artists' books, essayist, art writer, curator, and a librarian. Phillpot started his library career at the Charing Cross Public Library in London.",00005.jpg,00005.jpg,North America,Europe
<Thomas_Jakl>,m,Jakl,Thomas,Thomas Jakl.jpg,jakl@live.fr,stage director,1989-08-31,Austria,GNC,227 rue des Favorites,Paris,75001,Île-de-France,,France,33,216615128,https://upload.wikimedia.org/wikipedia/commons/0/09/Thomas_Jakl.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Thomas_Jakl.jpg/250px-Thomas_Jakl.jpg,"Thomas Jakl is the former chair of the European Chemicals Agency's (European Chemicals Agency, ECHA) Management board and is Deputy Director General of the Austrian Environment Ministry responsible for Chemicals Policy. His field of activity includes legislation on chemical substances at the national, European and UN levels. He served as ECHA's president from 2008 until September 2012. He is president of the Governing Board and ""Ambassador"" of the EU's Human Biomonitoring program ""HBM4EU"".",00006.jpg,00006.jpg,Europe,Europe
<Paul_K._Chu>,m,Chu,Paul,Paul Chu Picture Sep 2012.jpg,p.chu@hotmail.fr,legal adviser,1983-11-22,Hong Kong,Arcandor,195 E. Colony Schools Drive,Palmer,99645,Alaska,AK,United States,1,6822677981,https://upload.wikimedia.org/wikipedia/commons/d/d8/Paul_Chu_Picture_Sep_2012.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Paul_Chu_Picture_Sep_2012.jpg/250px-Paul_Chu_Picture_Sep_2012.jpg,Paul K. Chu (朱劍豪) is a specialist in plasma surface modification and materials science. He is Chair Professor of Materials Engineering at City University of Hong Kong.,00007.jpg,00007.jpg,Asia,North America
<David_Pledger>,m,Pledger,David,David Pledger.jpg,loputo005@yandex.ru,minister,1994-10-09,Australia,Abengoa,66 Holiday Lane,North Richland Hills,76180,Texas,TX,United States,1,8524472826,https://upload.wikimedia.org/wikipedia/commons/6/64/David_Pledger.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/David_Pledger.jpg/250px-David_Pledger.jpg,"David Pledger (born c. 1962) is an Australian artist and director in a variety of media in the performing, visual and media arts.
He has won several awards including the Victorian Arts Centre's 1999 Kenneth Myer Medallion for the Performing Arts and in 2000 the $25,000 Sidney Myer performing arts award, and established the Collaboration Project between the Australia Council for the Arts and the International Network for Contemporary Performance (IETM).In 2004 he directed two shows in the Melbourne Festival.His work is featured in Melbourne Now Limited Edition (NGV, Australia, 2013); Multimedia Performance (Macmillan, UK, 2012) and Making Contemporary Theatre (MUP, UK, 2010).Pledger works as an advocate for artists. In 2008 he attended the 2020 Summit as a delegate in the Creative Australia stream.",00008.jpg,00008.jpg,Oceania,North America
